code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
atd,,Latn,Ata Manobo,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
atg,,Latn,Ivbie North-Okpela-Arhe,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ati,,Latn,Attié,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
atj,,Latn,Atikamekw,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
atq,,Latn,Aralle-Tabulahan,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
att,,Latn,Pamplona Atta,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
auc,,Latn,Waorani,Language isolate,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aui,,Latn,Anuki,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
auy,,Latn,Awiyaana,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ava,av,Cyrl,Avaric,Nakh-Daghestanian,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
avk,,Latn,Kotava,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
avn,,Latn,Avatime,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
avt,,Latn,Au,Torricelli,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
avu,,Latn,Avokaya,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
awa,,Deva,Awadhi,Indo-European,IndicNLPTokenizer,ne,TRUE,TRUE,FALSE,TRUE
awb,,Latn,Awa (Papua New Guinea),Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
awi,,Latn,Aekyom,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
awx,,Latn,Awara,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aym,ay,Latn,Aymara,,SpaCyTokenizer,az,TRUE,TRUE,FALSE,TRUE
ayo,,Latn,Ayoreo,Zamucoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ayp,ar,Arab,North Mesopotamian Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
ayr,ay,Latn,Central Aymara,Aymaran,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
azb,az,Arab,South Azerbaijani,Turkic,SpaCyTokenizer,fa,TRUE,FALSE,FALSE,TRUE
aze,az,Arab,Azerbaijani,,WhitespaceTokenizer,,TRUE,TRUE,FALSE,FALSE
aze,az,Cyrl,Azerbaijani,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,FALSE
aze,az,Latn,Azerbaijani,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
azg,,Latn,San Pedro Amuzgos Amuzgo,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
azj,az,Cyrl,North Azerbaijani,Turkic,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,FALSE
azj,az,Latn,North Azerbaijani,Turkic,SpaCyTokenizer,az,FALSE,FALSE,TRUE,TRUE
azz,,Latn,Highland Puebla Nahuatl,Uto-Aztecan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bak,ba,Cyrl,Bashkir,Turkic,SpaCyTokenizer,tt,TRUE,TRUE,TRUE,TRUE
bal,,Arab,Baluchi,,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
bam,bm,Latn,Bambara,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
ban,,Latn,Balinese,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bao,,Latn,Waimaha,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bar,,Latn,Bavarian,Indo-European,SpaCyTokenizer,de,TRUE,TRUE,FALSE,TRUE
bas,,Latn,Basa (Cameroon),Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bav,,Latn,Vengo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bba,,Latn,Baatonum,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bbb,,Latn,Barai,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bbc,,Latn,Batak Toba,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bbj,,Latn,Ghomálá',Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bbk,,Latn,Babanki,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bbo,,Latn,Northern Bobo Madaré,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bbr,,Latn,Girawa,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bcc,,Arab,Southern Balochi,Indo-European,IndicNLPTokenizer,ur,TRUE,TRUE,FALSE,TRUE
bch,,Latn,Bariai,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bci,,Latn,Baoulé,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bcl,,Latn,Central Bikol,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bco,,Latn,Kaluli,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bcw,,Latn,Bana,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bdd,,Latn,Bunama,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bdh,,Latn,Baka (South Sudan),Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bdq,,Latn,Bahnar,Austro-Asiatic,SpaCyTokenizer,vi,TRUE,TRUE,FALSE,TRUE
bea,,Latn,Beaver,Eyak-Athabaskan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bef,,Latn,Benabena,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bel,be,Cyrl,Belarusian,Indo-European,StanzaTokenizer,be,FALSE,FALSE,TRUE,TRUE
bem,,Latn,Bemba (Zambia),Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ben,bn,Beng,Bengali,Indo-European,IndicNLPTokenizer,bn,FALSE,FALSE,TRUE,TRUE
ben,bn,Latn,Bengali,Indo-European,StanzaTokenizer,kmr,TRUE,TRUE,TRUE,FALSE
beq,,Latn,Beembe,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bew,,Latn,Betawi,Creole,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
